aX,aY,aZ,gX,gY,gZ
0.170,0.076,-0.969,6.165,6.104,-10.010
0.177,0.089,-0.995,5.005,7.996,-9.705
0.183,0.107,-1.019,4.578,8.972,-9.521
0.193,0.111,-1.048,6.287,8.667,-9.766
0.206,0.097,-1.059,9.827,7.080,-10.132
0.200,0.077,-1.044,14.099,4.517,-10.071
0.197,0.070,-1.029,16.663,2.319,-9.583
0.187,0.074,-1.016,16.479,1.709,-8.667
0.183,0.086,-1.017,14.709,1.770,-7.751
0.192,0.092,-1.024,13.062,1.770,-6.714
0.207,0.068,-1.027,11.963,1.160,-5.432
0.209,0.068,-1.022,10.559,-0.305,-2.625
0.204,0.082,-1.016,8.240,-1.648,-0.671
0.195,0.096,-1.009,7.385,-2.319,-0.244
0.186,0.091,-0.999,8.972,-2.625,-0.916
0.189,0.078,-0.989,11.353,-1.953,-1.282
0.193,0.071,-0.987,13.184,-0.977,-0.977
0.198,0.080,-0.995,13.733,0.854,-0.183
0.202,0.101,-0.996,14.465,2.563,0.732
0.203,0.134,-0.994,16.663,3.967,2.319
0.181,0.116,-0.997,20.142,5.615,4.883
0.190,0.137,-0.990,23.071,8.118,5.493
0.186,0.143,-0.996,22.827,9.277,5.798
0.188,0.173,-1.009,20.081,8.728,3.906
0.180,0.198,-1.024,16.357,7.996,0.000
0.173,0.214,-1.051,14.038,6.531,-3.967
0.200,0.195,-1.075,13.916,4.211,-8.728
0.216,0.168,-1.076,14.832,0.488,-12.024
0.214,0.163,-1.061,16.907,-3.540,-12.207
0.195,0.134,-1.038,19.348,-6.836,-10.071
0.195,0.152,-0.990,20.935,-7.568,-8.789
0.182,0.164,-0.961,22.583,-5.859,-6.653

1.350,-0.457,-1.049,-146.118,-43.457,125.366
1.320,-0.598,-1.092,-181.213,-42.297,167.786
1.169,-0.675,-1.103,-213.440,-37.170,213.928
0.987,-0.696,-1.119,-238.159,-27.588,260.132
0.807,-0.651,-1.120,-254.517,-15.625,301.392
0.618,-0.532,-1.134,-265.442,-2.563,332.031
0.471,-0.453,-1.098,-269.348,11.963,350.403
0.278,-0.432,-1.081,-270.203,26.123,361.755
0.201,-0.091,-1.152,-275.513,43.274,363.098
0.179,0.186,-1.189,-275.146,52.979,355.591
0.235,0.341,-1.221,-267.944,49.133,333.069
0.243,0.306,-1.236,-262.512,40.222,305.359
0.285,0.272,-1.246,-258.301,30.701,284.241
0.322,0.343,-1.216,-249.084,16.724,275.024
0.386,0.449,-1.141,-232.666,2.502,266.602
0.443,0.483,-1.058,-212.830,-6.836,255.432
0.504,0.452,-0.994,-193.726,-10.437,241.882
0.590,0.432,-0.954,-174.133,-13.306,225.159
0.671,0.364,-0.899,-151.245,-13.550,210.754
0.737,0.280,-0.831,-124.390,-13.611,201.904
0.751,0.164,-0.752,-96.863,-15.137,196.411
0.743,0.046,-0.671,-75.745,-17.456,191.040
0.725,-0.024,-0.633,-66.040,-20.447,185.791
0.712,-0.045,-0.605,-65.979,-24.414,181.458
0.669,-0.041,-0.596,-71.106,-29.907,177.979
0.603,-0.033,-0.603,-75.562,-35.400,176.208
0.548,-0.001,-0.603,-76.416,-38.086,176.147
0.472,0.025,-0.599,-75.439,-36.438,175.171
0.346,0.075,-0.617,-72.327,-31.433,173.157
0.241,0.130,-0.615,-64.819,-22.278,170.349
0.174,0.205,-0.629,-51.208,-7.385,165.344
0.174,0.219,-0.676,-34.973,8.911,159.851
0.217,0.143,-0.733,-21.912,20.081,154.907
0.229,0.078,-0.765,-20.325,21.973,148.193
0.219,0.001,-0.806,-29.297,13.916,139.648
0.190,-0.029,-0.856,-43.884,-0.916,129.578
0.148,-0.024,-0.903,-60.730,-19.104,117.859
0.012,0.029,-0.945,-71.167,-38.025,106.628
-0.173,0.137,-0.965,-68.970,-52.979,96.375
-0.352,0.218,-0.949,-55.481,-59.814,84.595
-0.470,0.191,-0.925,-35.339,-56.274,68.176
-0.490,0.115,-0.930,-14.709,-45.898,50.293
-0.397,0.039,-0.927,-0.122,-38.391,33.936
-0.288,-0.098,-0.904,0.977,-40.161,15.747
-0.227,-0.164,-0.904,-9.399,-49.744,0.671
-0.264,-0.290,-0.995,-19.348,-62.927,-3.296
-0.294,-0.444,-0.997,-23.193,-79.285,-0.732
-0.443,-0.584,-0.994,-28.198,-95.337,4.517
-0.698,-0.746,-0.989,-40.527,-104.614,9.399
-0.972,-0.810,-1.065,-69.275,-98.022,18.738
-1.175,-0.741,-1.220,-112.061,-75.439,34.485
-1.184,-0.431,-1.526,-158.630,-38.086,50.903
-1.031,-0.080,-1.752,-185.364,1.160,64.697
-0.821,0.183,-1.975,-170.837,31.189,81.665
-0.563,0.510,-2.047,-120.117,48.706,116.821
-0.371,0.800,-1.922,-44.556,47.119,167.358
-0.278,1.089,-1.713,39.063,28.137,214.905
-0.279,1.432,-1.508,106.201,3.113,242.798
-0.353,1.694,-1.274,145.569,-21.790,243.408
-0.394,1.858,-1.087,150.879,-33.936,213.989
-0.428,1.853,-0.980,130.798,-32.532,159.607
-0.380,1.561,-0.853,102.844,-26.672,84.839
-0.254,1.115,-0.716,78.125,-21.667,1.892
-0.155,0.584,-0.649,51.392,-21.362,-66.223
-0.033,0.133,-0.693,16.724,-19.409,-108.093
0.107,-0.145,-0.763,-20.447,-12.512,-125.854
0.249,-0.304,-0.814,-49.316,-4.395,-122.253
0.347,-0.360,-0.842,-62.012,1.709,-102.478
0.388,-0.367,-0.851,-59.021,8.118,-71.533
0.395,-0.281,-0.885,-47.119,16.663,-35.645
0.381,-0.140,-0.926,-30.518,26.245,-1.892
